method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed,n_periods,selected
dfl_lp,0.01856459065902546,0.018775575123494214,0.0008695928472883614,-0.001054922322343756,0.007236396827582726,-0.14578005426360321,-0.17573121406009368,-0.14045067424245128,0.38478128420002117,0.04,0.018957860835107646,-0.00018228571161343216,research_grid_v4,high_cost_turnover_constrained,0,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 57, ""val_mse"": 0.9893592596054077}, ""lr"": 0.001, ""epochs"": 25, ""val_objective"": 0.017789786428528288}"
mlp_dfl_lp,0.020338023245465055,0.020768239543557793,-0.00020522654969017085,-0.00215108149046369,0.007822109292055702,-0.2750001834381646,-0.3062764463505376,-0.24299060287653174,0.38908365741401546,0.056,0.018957860835107646,0.0018103787084501471,research_grid_v4,high_cost_turnover_constrained,0,500,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 63, ""val_mse"": 0.9935232996940613}, ""lr"": 0.001, ""epochs"": 2, ""val_objective"": 0.011798186693200654}"
dfl_lp,0.016576412215320777,0.01669478769935863,0.001311175635345768,-0.0005918774201892627,0.007383872936449961,-0.08015812639290473,-0.10430225089192952,-0.17071156007152222,0.38045424506754655,0.112,0.015320582457522044,0.0013742052418365854,research_grid_v4,high_cost_turnover_constrained,1,500,"{""init"": {""hidden"": 0, ""lr"": 0.005, ""epochs"": 155, ""val_mse"": 0.913859486579895}, ""lr"": 0.005, ""epochs"": 6, ""val_objective"": 0.014141368961782022}"
mlp_dfl_lp,0.01935267209097843,0.019706628641101433,0.00011198856389172331,-0.0017697827506150173,0.008163780045314943,-0.21678471744395922,-0.2541612720552601,-0.2430074259943611,0.37616357147313323,0.12,0.015320582457522044,0.004386046183579389,research_grid_v4,high_cost_turnover_constrained,1,500,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 70, ""val_mse"": 0.9263551235198975}, ""lr"": 0.005, ""epochs"": 1, ""val_objective"": 0.01384451930921758}"
dfl_lp,0.015582073919044623,0.01577806764518692,0.0008135367900848922,-0.0009799686307114845,0.006318940831841964,-0.15508431818481522,-0.18336913808921904,-0.13200962945286243,0.3583680283863652,0.088,0.013489151193416043,0.002288916451770878,research_grid_v4,high_cost_turnover_constrained,2,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 68, ""val_mse"": 0.87904953956604}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.009284275888723144}"
mlp_dfl_lp,0.016917976502394756,0.01740822977662882,-0.0007902050958945453,-0.002451266371170331,0.006500423927990901,-0.3770933092898843,-0.3896706909407601,-0.27617300328445105,0.33166557969269866,0.128,0.013489151193416043,0.003919078583212778,research_grid_v4,high_cost_turnover_constrained,2,500,"{""init"": {""hidden"": 64, ""lr"": 0.02, ""epochs"": 6, ""val_mse"": 0.8902632594108582}, ""lr"": 0.005, ""epochs"": 2, ""val_objective"": 0.009787484307758217}"
dfl_lp,0.01895070031199812,0.01909314328445839,0.001122622715154405,-0.0007122148623013524,0.007441891278661721,-0.09570347584192694,-0.11959088085976037,-0.1618048122492306,0.3667011244870477,0.064,0.01674359904039148,0.002349544244066911,research_grid_v4,high_cost_turnover_constrained,3,500,"{""init"": {""hidden"": 0, ""lr"": 0.005, ""epochs"": 115, ""val_mse"": 0.8696176409721375}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.01649073971816743}"
mlp_dfl_lp,0.019566987822845213,0.02007613692951294,-0.0007593759879754775,-0.0025457455333386305,0.007039242304754591,-0.3616505048075245,-0.3809417490141008,-0.28248348939155843,0.3569293438232154,0.088,0.01674359904039148,0.0033325378891214605,research_grid_v4,high_cost_turnover_constrained,3,500,"{""init"": {""hidden"": 64, ""lr"": 0.005, ""epochs"": 14, ""val_mse"": 0.869881272315979}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.016672542197224426}"
dfl_lp,0.019784655430539252,0.02020820276267415,-0.00035176791801664454,-0.002117736660674495,0.007537924012208325,-0.28094428346102873,-0.30704387381508624,-0.21981900206360205,0.35281627876166327,0.136,0.016213964376615257,0.003994238386058894,research_grid_v4,high_cost_turnover_constrained,4,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 85, ""val_mse"": 0.8383676409721375}, ""lr"": 0.005, ""epochs"": 9, ""val_objective"": 0.014502957282546773}"
mlp_dfl_lp,0.01992988425147039,0.020478034534704065,-0.0009305987196222388,-0.002740751416168358,0.006870231756018519,-0.39893143537238757,-0.40112565978542,-0.268233950043399,0.36172433398106985,0.12,0.016213964376615257,0.004264070158088808,research_grid_v4,high_cost_turnover_constrained,4,500,"{""init"": {""hidden"": 16, ""lr"": 0.001, ""epochs"": 250, ""val_mse"": 0.8502430319786072}, ""lr"": 0.005, ""epochs"": 1, ""val_objective"": 0.014873968433841662}"
