method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed,n_periods,selected
equal_weight,0.00622155685858489,0.0061769961730932035,0.00022280342745843254,0.00022280342745843254,0.003229871516645651,0.0689821332648057,0.10333385852551545,-0.03392572081971912,0.0,0.9777777777777777,-0.007555396562925587,0.01373239273601879,research_grid_v3,well_specified_high_sample,2,900,{}
min_variance,0.00494907074259872,0.004913087545975394,0.00018083446965464772,0.00017991598311663097,0.002637169993235886,0.06822312687838739,0.10223316680502059,-0.021173623402187314,3.8163916471489756e-17,0.9911111111111112,-0.007555396562925587,0.01246848410890098,research_grid_v3,well_specified_high_sample,2,900,{}
two_stage,-0.0034967861848396093,-0.0063832244599644865,0.014876658671769283,0.014432191375624388,0.0059654794858876575,2.419284385663696,,0.0,0.8880408321647663,0.08444444444444445,-0.007555396562925587,0.0011721721029611006,research_grid_v3,well_specified_high_sample,2,900,{}
robust_two_stage,-0.001711612878984332,-0.004114905614006095,0.012403924613412783,0.012016463675108816,0.005780044387275013,2.078956988545721,,0.0,0.7748482823935748,0.17333333333333334,-0.007555396562925587,0.0034404909489194916,research_grid_v3,well_specified_high_sample,2,900,{}
mlp_two_stage,-0.0029391795800665955,-0.005841442510719001,0.014960578831228921,0.014511314653262022,0.005966225580369017,2.432243711765963,58.56510626153509,-0.003690876739904536,0.8976458618521763,0.08,-0.007555396562925587,0.0017139540522065864,research_grid_v3,well_specified_high_sample,2,900,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 85, ""val_mse"": 0.8040137887001038}"
linear_dfl,0.00045133974319050445,-0.0014524475214570782,0.009844658341781122,0.009518936323237913,0.005239878803446691,1.8166329181430507,30.926237260822532,-0.0030157965424585376,0.6509232747327641,0.28888888888888886,-0.007555396562925587,0.006102949041468509,research_grid_v3,well_specified_high_sample,2,900,"{""hidden"": 0, ""lr"": 0.02, ""epochs"": 49, ""val_objective"": 0.0009698155336081982}"
dfl,0.001237710980332404,-0.0009088523113315579,0.011140286759663774,0.010732816458319808,0.006053209940804367,1.77307850900683,16.720224434208813,-0.006833733089312677,0.8152825290568562,0.24444444444444444,-0.007555396562925587,0.006646544251594029,research_grid_v3,well_specified_high_sample,2,900,"{""hidden"": 16, ""lr"": 0.005, ""epochs"": 140, ""val_objective"": -0.0005367363337427378}"
robust_dfl,0.0006606528429853099,-0.001249372357290126,0.009902497751687337,0.009550126001377179,0.005516544112494727,1.7311791231788374,12.355402367748978,-0.011363470351963167,0.7047148412680008,0.32,-0.007555396562925587,0.006306024205635461,research_grid_v3,well_specified_high_sample,2,900,"{""hidden"": 64, ""lr"": 0.02, ""epochs"": 23, ""val_objective"": 0.0006551679107360542}"
dfl_stateful,0.0011362537361913857,-0.0006844484312640796,0.009420949864814196,0.009103510837277326,0.005311514039367708,1.7139201305108673,13.799197348302497,-0.007968935148942258,0.6356857758872755,0.32,-0.007555396562925587,0.006870948131661507,research_grid_v3,well_specified_high_sample,2,900,"{""hidden"": 64, ""lr"": 0.005, ""epochs"": 42, ""val_objective"": 0.0006950434180907905}"
equal_weight,0.006220943593484619,0.006241531306927826,-0.00010293856721603445,-0.00010293856721603445,0.0029140143338625495,-0.0353253468881408,-0.04947561607205341,-0.04701877603952509,0.0,0.9644444444444444,-0.006892963455910469,0.013134494762838296,research_grid_v3,well_specified_high_sample,3,900,{}
min_variance,0.0048265779359380504,0.004832123738044432,-2.688677138289242e-05,-2.7729010531906895e-05,0.0023676793710156263,-0.011711471941532752,-0.017035993131722438,-0.03252314216928287,1.364236105036046e-16,0.9911111111111112,-0.006892963455910469,0.011725087193954901,research_grid_v3,well_specified_high_sample,3,900,{}
two_stage,-0.0034832992540013204,-0.0061938722984137655,0.013960266110010257,0.013552865222062225,0.004915658877778879,2.7570800896235,47.84402747168207,-0.00424907745175207,0.8131019806828964,0.07111111111111111,-0.006892963455910469,0.0006990911574967038,research_grid_v3,well_specified_high_sample,3,900,{}
robust_two_stage,-0.0025299951762054085,-0.004729561179121464,0.01135436287736987,0.010997830014580276,0.004583061131723071,2.399669063119349,,0.0,0.7117711823924365,0.14666666666666667,-0.006892963455910469,0.002163402276789005,research_grid_v3,well_specified_high_sample,3,900,{}
mlp_two_stage,-0.0032071313997443,-0.005911796669150329,0.013953050469288474,0.013523326347030145,0.005169281069396078,2.616094223329583,49.24266522855347,-0.004119393096696844,0.85781660090841,0.07555555555555556,-0.006892963455910469,0.00098116678676014,research_grid_v3,well_specified_high_sample,3,900,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 85, ""val_mse"": 0.7318539619445801}"
