regime,method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,test_cvar_sem,objective_sem,mean_return_sem,tc_adjusted_return_sem,volatility_sem,sharpe_sem,sortino_sem,max_drawdown_sem,turnover_sem,tail_loss_frequency_sem,oracle_objective_sem,oracle_regret_sem,test_cvar_win_rate,oracle_regret_win_rate,tc_adjusted_return_win_rate
predictable_crash_small,dfl,0.035323801505294475,0.03631011915998322,-0.004377347405806354,-0.004931588273443777,0.014341543191262811,-0.3475148054312328,-0.45784247407704914,-0.25245035549184586,0.5533165829364913,0.05555555555555555,0.0344542997882524,0.0018558193717308265,0.000333817208253857,0.00020188160863203637,0.0006191541515978031,0.0006596779981090722,0.0008000483826034709,0.06538394394202834,0.037587824209215207,0.013043552624424193,0.040338160176521476,0.0,0.0044374022310058195,0.0046392838396378585,0.0,0.0,0.5
predictable_crash_small,equal_weight,0.04867600381094886,0.05038470446227135,-0.008543503256612451,-0.008543503256612451,0.015282778725717719,-0.5584073878164273,-0.5759601546653652,-0.3733613087427833,0.0,0.05555555555555555,0.0344542997882524,0.015930404674018947,0.0012257275669809442,0.0013951909379215713,0.0008473168547031402,0.0008473168547031402,0.0013208064944709931,0.00718251257035607,0.02688531174033934,0.027016842036446942,0.0,0.0,0.0044374022310058195,0.0030422112930842482,0.0,0.0,0.0
predictable_crash_small,min_variance,0.03509413681341088,0.03637352941969242,-0.006384616700865813,-0.006396963031407729,0.011499593640980544,-0.5560863593466326,-0.6452237976356574,-0.2918523228737166,0.0,0.05555555555555555,0.0344542997882524,0.001919229631440025,0.0007264029582891088,0.0008857884508492366,0.0007975577616954211,0.0007969274628006192,3.241959495688118e-05,0.06773277321957673,0.015024911923093048,0.02749679377548936,0.0,0.0,0.0044374022310058195,0.0035516137801565855,0.0,0.0,0.0
predictable_crash_small,robust_dfl,0.03859010731291586,0.039827286812951945,-0.005588900295848159,-0.00618589750018044,0.014288229037758988,-0.4337861288505671,-0.5584027373309426,-0.29334492070654444,0.5921382669119115,0.05555555555555555,0.0344542997882524,0.005372987024699542,0.004165108169400232,0.004157492806284033,2.0547521161530264e-06,3.807681558099245e-05,0.000589936621183302,0.02057519780469691,0.08295342175211765,0.010074397962241355,0.041947670117733954,0.0,0.0044374022310058195,0.0002799094247217856,0.0,0.0,0.0
predictable_crash_small,robust_two_stage,0.032598621173425275,0.03369589386916816,-0.005292664326200354,-0.005486363478714404,0.01273136839726723,-0.43426797855393806,-0.5989052530071269,-0.26508463402780824,0.17785945608960663,0.05555555555555555,0.0344542997882524,-0.0007584059190842447,0.0012038573053462162,0.0011550236815582506,0.00020919327740350608,0.00024416811893983423,0.0008694772224999412,0.04883640275763283,0.0015880166066098989,0.0004761928580557795,0.03467923361796782,0.0,0.0044374022310058195,0.005592425912564069,0.5,0.5,0.0
predictable_crash_small,two_stage,0.03210488149727909,0.0331190933115785,-0.004764664820573984,-0.005071059071497063,0.013033009641804516,-0.3917020446297775,-0.5574052412354857,-0.2502153615567808,0.292853433704406,0.05555555555555555,0.0344542997882524,-0.0013352064766738968,0.0021278478212211687,0.0022190823578130186,0.0004596886330727379,0.0004561726829592431,0.0006302461582873287,0.05394313447535881,0.007136933872407075,0.012691082879964233,0.0014881999190650141,0.0,0.0044374022310058195,0.0022183198731928026,0.5,0.5,0.5
well_specified_small,dfl,0.006141451721483349,0.004989230723312021,0.006343876474417143,0.005761104990856636,0.006901251113509411,0.8141054901402403,2.235790444694565,-0.010878450081227231,0.5771369103845233,0.05555555555555555,0.0017918357164717937,0.0031973950068402276,0.0006180243669871074,0.0010349966061926749,0.0020730138303776853,0.0020848611960278367,0.0006251728514397028,0.22835055836048532,0.6831934208391771,0.0024878547205032797,0.011747695842313721,0.0,0.0007180949984265314,0.0003169016077661435,0.0,0.0,0.0
well_specified_small,equal_weight,0.008390137075346676,0.008150061545889827,0.0012003776472842536,0.0012003776472842536,0.004814465230518053,0.21827386587803652,0.41429423869398974,-0.026296377972173435,0.0,0.05555555555555555,0.0017918357164717937,0.006358225829418033,0.0007362950903947144,0.0005187294240684738,0.001087828331631206,0.001087828331631206,0.0007854705961146912,0.19033902708126568,0.3669502292352844,0.0001680715969405444,0.0,0.0,0.0007180949984265314,0.0012368244224950052,0.0,0.0,0.0
well_specified_small,min_variance,0.00685803312030824,0.006624551041438217,0.0011731838785351044,0.0011674103943501194,0.004226133244497585,0.23962829110813538,0.513709099690542,-0.0279359642284005,4.02259462636886e-17,0.05555555555555555,0.0017918357164717937,0.004832715324966423,0.0013141149488262998,0.0011154195558056293,0.0009928604718886752,0.0009934769651033526,0.0008204948567366246,0.18855609570983084,0.41070995842017227,0.00453169844821788,1.2535831911304096e-17,0.0,0.0007180949984265314,0.0018335145542321607,0.0,0.0,0.0
well_specified_small,robust_dfl,0.00604225055677176,0.004888811963001441,0.006320188255052671,0.005767192968851595,0.006807587173175555,0.8488785283644474,2.137331382304941,-0.014260422346997259,0.5496384155068967,0.05555555555555555,0.0017918357164717937,0.003096976246529647,0.0015855188114561817,0.0021026655734745735,0.0025531067424711265,0.00258573381009196,3.0295473993303436e-05,0.3836088941142003,0.9419247948786423,0.007932130114700675,0.034279242910794205,0.0,0.0007180949984265314,0.001384570575048042,0.0,0.0,0.0
well_specified_small,robust_two_stage,0.005668485415077069,0.004767521839804275,0.004875105261383459,0.004504817876363967,0.005231531639976779,0.8208410348425937,1.6334130961742885,-0.009704842474025699,0.3655701034881238,0.05555555555555555,0.0017918357164717937,0.0029756861233324818,0.0009325735807275025,0.0005164937103077241,0.002074216545877287,0.002080399352098891,0.0007535279418764355,0.279434933558632,0.24930955879962152,0.0005889326734676015,0.004255895436698423,0.0,0.0007180949984265314,0.0012345887087342557,0.0,0.0,0.0
well_specified_small,two_stage,0.0032476517115790395,0.0019251870471382808,0.007135935410635799,0.006612323322203794,0.005846226622638722,1.106531042535697,5.127261029058721,-0.005297952319854249,0.5207933271185001,0.05555555555555555,0.0017918357164717937,0.00013335133066648712,0.001046601555014326,0.0006571803705326799,0.0019339596116510506,0.0019471059224082316,0.0007493481635861797,0.19122230281199762,1.9859633204636653,0.0012691287423289288,0.00936705560235418,0.0,0.0007180949984265314,0.0013752753689592113,1.0,1.0,1.0
