method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed
dfl,0.006759476088470456,0.006024227329504696,0.0042708626440394575,0.0036762437948287996,0.006276078262069708,0.5857549317797549,1.5525970238553877,-0.01336630480173051,0.588884606226837,0.05555555555555555,0.002509930714898325,0.003514296614606371,smoke,well_specified_small,1
robust_dfl,0.007627769368227942,0.006991477536476014,0.0037670815125815443,0.003181459158759636,0.006837882647168858,0.4652696342502471,1.195406587426299,-0.022192552461697934,0.5839176584176909,0.05555555555555555,0.002509930714898325,0.004481546821577689,smoke,well_specified_small,1
equal_weight,0.047450276243967915,0.04898951352434978,-0.007696186401909312,-0.007696186401909312,0.013961972231246724,-0.5512248752460712,-0.6028454664057045,-0.34634446670633634,0.0,0.05555555555555555,0.03001689755724658,0.018972615967103198,smoke,predictable_crash_small,0
min_variance,0.03436773385512177,0.03548774096884319,-0.005587058939170392,-0.00560003556860711,0.011467174046023662,-0.48835358612705587,-0.6301988857125644,-0.26435552909822724,0.0,0.05555555555555555,0.03001689755724658,0.0054708434115966105,smoke,predictable_crash_small,0
two_stage,0.02997703367605792,0.030900010953765485,-0.004304976187501247,-0.00461488638853782,0.013663255800091844,-0.33775891015441867,-0.5645421751078927,-0.23752427867681658,0.294341633623471,0.05555555555555555,0.03001689755724658,0.0008831133965189059,smoke,predictable_crash_small,0
robust_two_stage,0.03380247847877149,0.034850917550726404,-0.0050834710487968485,-0.005242195359774569,0.013600845619767172,-0.38543157579630527,-0.597317236400517,-0.26460844116975246,0.1431802224716388,0.05555555555555555,0.03001689755724658,0.004834019993479825,smoke,predictable_crash_small,0
dfl,0.03565761871354833,0.036512000768615265,-0.003758193254208551,-0.004271910275334704,0.015141591573866282,-0.28213086148920447,-0.4202546498678339,-0.23940680286742166,0.5129784227599699,0.05555555555555555,0.03001689755724658,0.006495103211368685,smoke,predictable_crash_small,0
robust_dfl,0.03442499914351562,0.03566979400666791,-0.005586845543732006,-0.006223974315761433,0.013698292416575686,-0.454361326655264,-0.6413561590830603,-0.3034193186687858,0.6340859370296456,0.05555555555555555,0.03001689755724658,0.0056528964494213275,smoke,predictable_crash_small,0
equal_weight,0.0499017313779298,0.05177989540019292,-0.009390820111315592,-0.009390820111315592,0.01660358522018871,-0.5655899003867834,-0.5490748429250258,-0.4003781507792302,0.0,0.05555555555555555,0.03889170201925822,0.0128881933809347,smoke,predictable_crash_small,1
min_variance,0.03582053977169999,0.03725931787054166,-0.0071821744625612345,-0.007193890494208348,0.011532013235937425,-0.6238191325662094,-0.6602487095587505,-0.31934911664920596,0.0,0.05555555555555555,0.03889170201925822,-0.0016323841487165605,smoke,predictable_crash_small,1
two_stage,0.03423272931850026,0.03533817566939152,-0.005224353453646722,-0.005527231754456306,0.012402763483517187,-0.4456451791051363,-0.5502683073630786,-0.26290644443674505,0.29136523378534096,0.05555555555555555,0.03889170201925822,-0.0035535263498666994,smoke,predictable_crash_small,1
robust_two_stage,0.03139476386807906,0.032540870187609906,-0.00550185760360386,-0.005730531597654238,0.011861891174767289,-0.4831043813115709,-0.6004932696137368,-0.265560826885864,0.21253868970757445,0.05555555555555555,0.03889170201925822,-0.006350831831648314,smoke,predictable_crash_small,1
dfl,0.034989984297040616,0.03610823755135119,-0.004996501557404157,-0.005591266271552849,0.01354149480865934,-0.41289874937326115,-0.49543029828626434,-0.26549390811627005,0.5936547431130128,0.05555555555555555,0.03889170201925822,-0.002783464467907032,smoke,predictable_crash_small,1
robust_dfl,0.04275521548231609,0.04398477961923598,-0.005590955047964312,-0.0061478206845994475,0.01487816565894229,-0.4132109310458702,-0.47544931557882497,-0.2832705227443031,0.5501905967941776,0.05555555555555555,0.03889170201925822,0.005093077599977756,smoke,predictable_crash_small,1
