method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed,n_periods,selected
dfl_lp,0.009397482172261867,0.00886628811868805,0.003371646313004857,0.002655970267869083,0.005815954445085687,0.45666971646530535,0.9314631875750659,-0.018193156989848358,0.7130935784597082,0.296,0.0009965603966844278,0.007869727722003624,sample_size_curve_lp,nonlinear_n500,0,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 79, ""val_mse"": 0.7905877828598022}, ""lr"": 0.001, ""epochs"": 15, ""val_objective"": 0.006172130206525142}"
mlp_dfl_lp,0.009804506069046124,0.009808798640331599,0.0005936420820793699,-2.146285642737534e-05,0.004717313622000633,-0.004549804855612513,-0.0063371949957592225,-0.050869672952242206,0.6128921027422672,0.456,0.0009965603966844278,0.008812238243647172,sample_size_curve_lp,nonlinear_n500,0,500,"{""init"": {""hidden"": 16, ""lr"": 0.001, ""epochs"": 161, ""val_mse"": 0.8081656694412231}, ""lr"": 0.001, ""epochs"": 3, ""val_objective"": 0.009023078970791508}"
dfl_lp,0.006606255761650948,0.006241796913359562,0.002487654113333042,0.001822294241456933,0.004616574835702687,0.3947286258568434,0.8413249037672644,-0.013921724650585166,0.6611367042663245,0.208,0.001993421885324147,0.004248375028035415,sample_size_curve_lp,nonlinear_n500,1,500,"{""init"": {""hidden"": 0, ""lr"": 0.005, ""epochs"": 109, ""val_mse"": 0.9319790005683899}, ""lr"": 0.005, ""epochs"": 3, ""val_objective"": 0.007308690719792942}"
mlp_dfl_lp,0.007486406737241174,0.007251824342723534,0.0018517155680256778,0.0011729119725881988,0.004674230340372131,0.25093157309913133,0.4537517296022552,-0.018916129021847028,0.674300748288736,0.288,0.001993421885324147,0.005258402457399387,sample_size_curve_lp,nonlinear_n500,1,500,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 56, ""val_mse"": 0.9450340867042542}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.006656844452353593}"
dfl_lp,0.006224431846431567,0.005685412513648087,0.0034019870298678803,0.0026950966639174042,0.0052075350495707625,0.5175378826537159,1.2968347033687413,-0.02090298793656531,0.7042868167297736,0.224,0.004330143221524124,0.0013552692921239623,sample_size_curve_lp,nonlinear_n500,2,500,"{""init"": {""hidden"": 0, ""lr"": 0.005, ""epochs"": 143, ""val_mse"": 0.9943271279335022}, ""lr"": 0.005, ""epochs"": 2, ""val_objective"": 0.0067699541330018525}"
mlp_dfl_lp,0.00781756137513073,0.007322476646383234,0.0032220748299961605,0.0024754236437374783,0.005728904646631527,0.4320937065623671,1.033609027822317,-0.022156917589535863,0.7436965553477477,0.176,0.004330143221524124,0.0029923334248591095,sample_size_curve_lp,nonlinear_n500,2,500,"{""init"": {""hidden"": 16, ""lr"": 0.005, ""epochs"": 75, ""val_mse"": 1.0064765214920044}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.005335933088395145}"
dfl_lp,0.007696700488169865,0.007259257442967466,0.002828699399697533,0.0021872152260119914,0.0049082890565359145,0.4456166294146557,0.9321116803511827,-0.01787468888807775,0.6387491016491366,0.208,0.0028458730721859157,0.004413384370781551,sample_size_curve_lp,nonlinear_n500,3,500,"{""init"": {""hidden"": 0, ""lr"": 0.005, ""epochs"": 105, ""val_mse"": 0.8534426689147949}, ""lr"": 0.005, ""epochs"": 4, ""val_objective"": 0.004398122580071232}"
mlp_dfl_lp,0.007670753747554633,0.00746234232847734,0.0016433233290706441,0.0010420570953864642,0.004902805795139926,0.21254300878221527,0.39040219175864005,-0.03250103802696502,0.5992323915973032,0.304,0.0028458730721859157,0.0046164692562914245,sample_size_curve_lp,nonlinear_n500,3,500,"{""init"": {""hidden"": 64, ""lr"": 0.005, ""epochs"": 13, ""val_mse"": 0.8588685989379883}, ""lr"": 0.005, ""epochs"": 2, ""val_objective"": 0.005389745946819395}"
dfl_lp,0.0065306742750091545,0.006002243842834307,0.0032483787703460536,0.0026421521608742376,0.00458963401028117,0.5756781813930946,1.3043303064093388,-0.011460901852641814,0.6025056750407549,0.112,0.0032897395181175756,0.002712504324716731,sample_size_curve_lp,nonlinear_n500,4,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 66, ""val_mse"": 0.9481654763221741}, ""lr"": 0.001, ""epochs"": 3, ""val_objective"": 0.0053514111291779526}"
mlp_dfl_lp,0.00756054400500488,0.007429738902396914,0.001170216660357945,0.0006540255130398309,0.004266764910634754,0.15328370008303308,0.24959496596679645,-0.021851033753551352,0.513000834889896,0.16,0.0032897395181175756,0.0041399993842793385,sample_size_curve_lp,nonlinear_n500,4,500,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 44, ""val_mse"": 0.9737213253974915}, ""lr"": 0.001, ""epochs"": 3, ""val_objective"": 0.004842557349097506}"
