method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed
equal_weight,0.005608614384112048,0.0056948322631013605,-0.00043108939494656135,-0.00043108939494656135,0.002722416017218735,-0.15834809671323535,-0.28088226784609294,-0.1029866944368849,0.0,0.05333333333333334,-0.008838454854685306,0.014533287117786666,research_grid,well_specified_high_sample,0
min_variance,0.004595459492181251,0.004665545603263071,-0.0003495067444999786,-0.0003504305554090982,0.00242274595880519,-0.14464189032731928,-0.25873051573073635,-0.08217455367424054,0.0,0.05333333333333334,-0.008838454854685306,0.013504000457948376,research_grid,well_specified_high_sample,0
two_stage,-0.0034355344489843363,-0.0065717018885295755,0.01610731064553818,0.015680837197726196,0.006189143444626331,2.5336037749791274,15680837197.726196,-5.76190580475755e-05,0.8518234591110516,0.05333333333333334,-0.008838454854685306,0.0022667529661557304,research_grid,well_specified_high_sample,0
robust_two_stage,-0.0032180135031809934,-0.005910608431290024,0.013839482613209844,0.013462974640545149,0.005467596118022864,2.4623206153989243,13462974640.545149,0.0,0.7520158203310058,0.05333333333333334,-0.008838454854685306,0.002927846423395282,research_grid,well_specified_high_sample,0
dfl,0.004377855534500207,0.002328040108634448,0.010659668079960388,0.010249077129328793,0.007057426597908571,1.4522399894196292,2.315808503970937,-0.01286010906323054,0.8209871321879932,0.05333333333333334,-0.008838454854685306,0.011166494963319755,research_grid,well_specified_high_sample,0
robust_dfl,0.004678597345602758,0.002881114369207162,0.009354199380663687,0.00898741488197798,0.006222629721635885,1.44431137357968,2.7873627309345768,-0.010409418360740497,0.7332750275947227,0.05333333333333334,-0.008838454854685306,0.011719569223892468,research_grid,well_specified_high_sample,0
equal_weight,0.008078088247616548,0.007977732060258489,0.0005017809367902916,0.0005017809367902916,0.0041699214696580755,0.12033342601799718,0.20094646685043174,-0.028751466898548683,0.0,0.05333333333333334,-0.005657911671981765,0.013635643732240254,research_grid,well_specified_high_sample,1
min_variance,0.005303943660416065,0.005239804172451082,0.0003221047268953408,0.0003206974398249137,0.0028593146927406274,0.11215884719753223,0.20486247158253876,-0.02652144203643536,4.984041788314728e-17,0.05333333333333334,-0.005657911671981765,0.010897715844432847,research_grid,well_specified_high_sample,1
two_stage,-0.0020278767833720626,-0.004539610254951648,0.012950345140192126,0.012558667357897926,0.00529318523237182,2.372610593470183,122.53403319565489,-0.001563372442445976,0.7808511307700202,0.05333333333333334,-0.005657911671981765,0.0011183014170301174,research_grid,well_specified_high_sample,1
robust_two_stage,-0.00041721837736329997,-0.0024517887506430116,0.010501296415770606,0.010172851866398559,0.004849933933853989,2.0975238019824327,16.743207276761012,-0.002208693107847215,0.6554187290995338,0.05333333333333334,-0.005657911671981765,0.0032061229213387536,research_grid,well_specified_high_sample,1
