regime,method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,test_cvar_sem,objective_sem,mean_return_sem,tc_adjusted_return_sem,volatility_sem,sharpe_sem,sortino_sem,max_drawdown_sem,turnover_sem,tail_loss_frequency_sem,oracle_objective_sem,oracle_regret_sem,test_cvar_win_rate,oracle_regret_win_rate,tc_adjusted_return_win_rate
heavy_tail_medium_sample,dfl,0.013147367283746289,0.012523160216616064,0.003938782261405209,0.0031210353356511205,0.00810541891638547,0.38097324911631747,0.8025463461262676,-0.030037357434152544,0.8162704641487561,0.1584,0.00635914904604426,0.006164011170571804,0.0006595924371343774,0.0006661018325477994,0.0003914763484337129,0.0003928931367645065,0.0004207040637028862,0.03254166616006263,0.10861988079188149,0.003588628872041628,0.009119652428514249,0.016079800993793424,0.000741048377186165,0.0005560321333026124,0.0,0.0,0.2
heavy_tail_medium_sample,equal_weight,0.011918740687777844,0.012472712930978258,-0.0027698612160020745,-0.0027698612160020745,0.004795640777368529,-0.5956909627319715,-0.5489370811494576,-0.2977682937174937,0.0,0.3488,0.00635914904604426,0.006113563884933998,0.00045878607311972906,0.0004439075548444832,0.00020902304749279444,0.00020902304749279444,0.00033454156789956623,0.06995823588975751,0.042905788629364394,0.016853132626428517,0.0,0.02636361128525453,0.000741048377186165,0.0008313387804169618,0.0,0.0,0.0
heavy_tail_medium_sample,min_variance,0.010096990684601178,0.010627059812781808,-0.002647019812708309,-0.002650345640903156,0.003853730011448246,-0.6875872172110735,-0.5998883831605697,-0.2844438248253487,3.3464662107431174e-16,0.3056,0.00635914904604426,0.004267910766737548,0.00040262982047406087,0.00042836297445198623,0.0001314029764335096,0.0001311727185341363,0.00012311970559442646,0.025565552395604714,0.011407627276846272,0.012046864645190825,2.829193505344793e-16,0.0316379518932563,0.000741048377186165,0.0005068229966090013,0.0,0.0,0.0
heavy_tail_medium_sample,robust_dfl,0.011576301752897398,0.010929960901757066,0.004043623107084083,0.0032317042557016597,0.007575688461445129,0.4251177907696609,0.954844849879773,-0.03098061113701047,0.8108902409334118,0.13279999999999997,0.00635914904604426,0.0045708118557128054,0.0008815642229332157,0.0008881430558685182,0.0004340317686273246,0.0004389954969121487,0.0003258301383978735,0.05035288250708024,0.13533548531417045,0.007368170922300974,0.017344915451479533,0.010910545357588687,0.000741048377186165,0.0010759386227280092,0.0,0.2,0.4
heavy_tail_medium_sample,robust_two_stage,0.007956486406398428,0.007664932107643607,0.002022365748188158,0.0014577714937741074,0.005148805761808752,0.28678897424888034,0.6775985625744291,-0.02706097297583221,0.5627883199020852,0.11200000000000002,0.00635914904604426,0.0013057830615993454,0.000991415347454878,0.0010753603415157307,0.0004385592870603987,0.0004304527430361621,0.00020716361207373483,0.08545205324451007,0.29514209070329384,0.005334629781446055,0.013255522101776853,0.015388307249337077,0.000741048377186165,0.000715398240057141,0.8,0.4,0.0
heavy_tail_medium_sample,two_stage,0.008487857793226763,0.007823264487740534,0.004045191920112613,0.0033229665274311523,0.005945288203577614,0.5625979424823038,1.4206992954766196,-0.01946334443602511,0.7196352681150457,0.0736,0.00635914904604426,0.0014641154416962729,0.0008487718889388648,0.0009169770090543873,0.0004189764487602106,0.0004108172897182046,0.00025579098365838656,0.07090609189649845,0.2995556992068492,0.00201694691047437,0.011272969544443345,0.005878775382679626,0.000741048377186165,0.0004466323385153507,0.2,0.4,0.4
high_cost_turnover_constrained,dfl,0.021521191270502924,0.022145418887858086,-0.0005861065411253495,-0.003121138086775825,0.0077958222165305955,-0.40472996131244593,-0.41418690393763435,-0.3317197747836714,0.502273759483241,0.1312,0.016145031580610536,0.0060003873072475514,0.000648111741378922,0.0006443819421878932,0.0002178502042553133,0.0001421265053913325,0.0003885966570553401,0.0272196068755545,0.021045545751485373,0.008107182832909727,0.030120686636779474,0.012026637102698325,0.0008946636277639432,0.000589770769196742,0.0,0.0,0.0
high_cost_turnover_constrained,equal_weight,0.038855595440160436,0.039842603023807335,-0.004935037918234493,-0.004935037918234493,0.009706412498594249,-0.5063694142519252,-0.45783906389072204,-0.45720775942311426,0.0,0.08159999999999999,0.016145031580610536,0.0236975714431968,0.002429353407738852,0.002501931425555675,0.0003900366408824645,0.0003900366408824645,0.00036089697019568983,0.028076212124809336,0.018675412924656708,0.022190783277926583,0.0,0.009927738916792684,0.0008946636277639432,0.002784944826768315,0.0,0.0,0.0
high_cost_turnover_constrained,min_variance,0.019699403954740978,0.020384847306536242,-0.003389286753153252,-0.0034272167589763187,0.005906298844668526,-0.582692589287106,-0.522355089834867,-0.34385540690756766,0.004421372142340947,0.0752,0.016145031580610536,0.004239815725925705,0.001262081751587393,0.0013018322327807358,0.00026714468452016617,0.0002653743481980246,0.00027173344448786255,0.042579120008291685,0.025814246096079286,0.017690661159362693,0.0005570756212644664,0.006499230723708768,0.0008946636277639432,0.000825211145713061,0.0,0.0,0.0
high_cost_turnover_constrained,robust_dfl,0.020663401357146016,0.021246037497262844,-0.00045140355696870696,-0.0029131807005841354,0.007352033886491784,-0.39929625127232315,-0.4052985613176311,-0.30980793549607577,0.4865357500238449,0.11680000000000001,0.016145031580610536,0.005101005916652308,0.0005284896752837474,0.0005376168642595423,0.0002554416729984787,0.00019655348746118275,0.0002102980045377179,0.03319242386203312,0.025328801590361473,0.015495208577935057,0.025455103476791356,0.013047605144240073,0.0008946636277639432,0.0010020302283692585,0.0,0.0,0.0
