method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed
equal_weight,0.0056086143841120465,0.005694832263101359,-0.00043108939494656146,-0.00043108939494656146,0.002722416017218735,-0.15834809671323538,-0.1998768828059469,-0.1029866944368848,0.0,0.9911111111111112,-0.007731542071812518,0.013426374334913876,research_grid_v2,well_specified_high_sample,0
min_variance,0.004595459493476796,0.004665545604508374,-0.00034950674424982174,-0.00035043055515788856,0.0024227459591830126,-0.14464189020107468,-0.19048105446555957,-0.08217455362117598,3.825684808627423e-18,0.9911111111111112,-0.007731542071812518,0.012397087676320893,research_grid_v2,well_specified_high_sample,0
two_stage,-0.003435534448984345,-0.006571701888529584,0.01610731064553818,0.015680837197726196,0.006189143444626329,2.5336037749791283,4082.200680394633,-5.76190580475755e-05,0.8518234591110516,0.057777777777777775,-0.007731542071812518,0.0011598401832829336,research_grid_v2,well_specified_high_sample,0
robust_two_stage,-0.003218013503180995,-0.005910608431290025,0.013839482613209842,0.013462974640545147,0.005467596118022858,2.4623206153989265,,0.0,0.7520158203310056,0.10666666666666667,-0.007731542071812518,0.001820933640522493,research_grid_v2,well_specified_high_sample,0
dfl,0.0006860351796026854,-0.0018578546673175263,0.013148162956908852,0.012719449234601058,0.006554907821792772,1.940446697110354,24.089841100400115,-0.005285054014238955,0.8563904532302675,0.14666666666666667,-0.007731542071812518,0.005873687404494992,research_grid_v2,well_specified_high_sample,0
robust_dfl,-0.0008978035937075376,-0.0035465282257388588,0.013660105750253837,0.013243623160156604,0.00630281972731129,2.1012219500215594,30.3729431387468,-0.004379160205920218,0.8319859100230561,0.13333333333333333,-0.007731542071812518,0.004185013846073659,research_grid_v2,well_specified_high_sample,0
equal_weight,0.00807808824761655,0.00797773206025849,0.0005017809367902917,0.0005017809367902917,0.0041699214696580755,0.12033342601799721,0.1854497653873636,-0.028751466898548683,0.0,0.8666666666666667,-0.005685380814545885,0.013663112874804376,research_grid_v2,well_specified_high_sample,1
min_variance,0.005303943665792833,0.0052398041780711765,0.00032210472567765764,0.00032069743860828207,0.0028593146929068018,0.11215884676551628,0.17165703576672456,-0.02652144197500017,1.6413138926006705e-16,0.9644444444444444,-0.005685380814545885,0.010925184992617062,research_grid_v2,well_specified_high_sample,1
two_stage,-0.002027876783372053,-0.004539610254951638,0.012950345140192122,0.012558667357897926,0.005293185232371821,2.3726105934701827,89.23983496624767,-0.001563372442445976,0.7808511307700208,0.08888888888888889,-0.005685380814545885,0.0011457705595942468,research_grid_v2,well_specified_high_sample,1
robust_two_stage,-0.00041721837736329563,-0.002451788750643009,0.010501296415770614,0.010172851866398568,0.004849933933853994,2.0975238019824323,48.99599619781274,-0.002208693107847215,0.6554187290995336,0.15555555555555556,-0.005685380814545885,0.003233592063902876,research_grid_v2,well_specified_high_sample,1
dfl,0.0007868220102312463,-0.001298295612911132,0.010827149645465547,0.010425588115711891,0.005719977452884706,1.8226624492429395,20.011957134677523,-0.00602641233618606,0.800990919729457,0.18666666666666668,-0.005685380814545885,0.004387085201634753,research_grid_v2,well_specified_high_sample,1
robust_dfl,0.0009636512587671541,-0.0011076444983486537,0.010761638573214074,0.01035647878557904,0.0053412068845091676,1.9389772775281247,12.954793043990628,-0.011466319515475498,0.8081734455819725,0.16444444444444445,-0.005685380814545885,0.004577736316197231,research_grid_v2,well_specified_high_sample,1
equal_weight,0.00622155685858489,0.0061769961730932035,0.00022280342745843243,0.00022280342745843243,0.003229871516645651,0.06898213326480568,0.1033338585255154,-0.03392572081971912,0.0,0.9777777777777777,-0.0075553965629255905,0.013732392736018794,research_grid_v2,well_specified_high_sample,2
min_variance,0.004949070745375987,0.004913087548813142,0.00018083446935201092,0.00017991598281422765,0.002637169993467627,0.06822312675772264,0.10223316660897563,-0.021173623460780222,7.360183890930168e-17,0.9911111111111112,-0.0075553965629255905,0.012468484111738731,research_grid_v2,well_specified_high_sample,2
two_stage,-0.0034967861848396137,-0.006383224459964492,0.014876658671769285,0.014432191375624388,0.005965479485887652,2.419284385663698,,0.0,0.8880408321647665,0.08444444444444445,-0.0075553965629255905,0.0011721721029610988,research_grid_v2,well_specified_high_sample,2
robust_two_stage,-0.0017116128789843247,-0.0041149056140060885,0.012403924613412784,0.01201646367510882,0.005780044387275013,2.0789569885457215,,0.0,0.774848282393575,0.17333333333333334,-0.0075553965629255905,0.003440490948919502,research_grid_v2,well_specified_high_sample,2
dfl,0.0007616221852300189,-0.0017091211200177714,0.012815132562346817,0.01235371652623895,0.006504210287244589,1.8993415001612863,35.16421083013372,-0.003957912798339569,0.921954764239428,0.18222222222222223,-0.0075553965629255905,0.0058462754429078195,research_grid_v2,well_specified_high_sample,2
robust_dfl,0.0007660516085798865,-0.001738445979352552,0.012965571226733388,0.01252248793966219,0.0064211646600643765,1.9501895062112382,24.8740008048868,-0.008049668885024786,0.8852630324852058,0.19111111111111112,-0.0075553965629255905,0.005816950583573038,research_grid_v2,well_specified_high_sample,2
equal_weight,0.006220943593484619,0.006241531306927826,-0.00010293856721603447,-0.00010293856721603447,0.0029140143338625495,-0.03532534688814081,-0.04947561607205342,-0.04701877603952509,0.0,0.9644444444444444,-0.006892963455910472,0.013134494762838298,research_grid_v2,well_specified_high_sample,3
min_variance,0.004826577935229741,0.004832123737338486,-2.688677139506657e-05,-2.772901054372401e-05,0.002367679370702443,-0.011711471948072892,-0.017035993140795732,-0.0325231422437684,6.177048270205361e-17,0.9911111111111112,-0.006892963455910472,0.011725087193248957,research_grid_v2,well_specified_high_sample,3
two_stage,-0.003483299254001315,-0.0061938722984137586,0.013960266110010245,0.013552865222062217,0.00491565887777889,2.7570800896234915,47.8440274716819,-0.00424907745175207,0.8131019806828912,0.07111111111111111,-0.006892963455910472,0.0006990911574967134,research_grid_v2,well_specified_high_sample,3
robust_two_stage,-0.0025299951762053825,-0.00472956117912144,0.011354362877369894,0.01099783001458029,0.004583061131723048,2.3996690631193647,,0.0,0.7117711823924527,0.14666666666666667,-0.006892963455910472,0.002163402276789032,research_grid_v2,well_specified_high_sample,3
dfl,0.0006565836266987979,-0.001415647833832891,0.010790384536652509,0.010361157302658444,0.005094892201888094,2.0336362164414608,26.09218288711375,-0.00408281518538256,0.8579929491655067,0.2222222222222222,-0.006892963455910472,0.00547731562207758,research_grid_v2,well_specified_high_sample,3
