regime,method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,n_periods,test_cvar_sem,objective_sem,mean_return_sem,tc_adjusted_return_sem,volatility_sem,sharpe_sem,sortino_sem,max_drawdown_sem,turnover_sem,tail_loss_frequency_sem,oracle_objective_sem,oracle_regret_sem,n_periods_sem,test_cvar_win_rate,oracle_regret_win_rate,tc_adjusted_return_win_rate
nonlinear_n1000,dfl_lp,0.00737850450996982,0.00685378840622726,0.0032894519174423,0.00262358051871292,0.00505094887577634,0.5182774247458398,1.2251817305230621,-0.02173829146079888,0.6646329553702157,0.2016,0.00261622050126336,0.00423756790496382,1000.0,0.00039160503250282395,0.0004230099816694444,0.00027068990750561846,0.00026568702030017606,0.00018940246893985337,0.04438816423682299,0.18158489494263488,0.0018380951225961217,0.01627309187500327,0.018701871564097534,0.0005791778339548397,0.00035163123108147333,0.0,0.8,0.6,0.6
nonlinear_n1000,mlp_dfl_lp,0.00784539951288618,0.00736950927841872,0.00308606289504726,0.00237945117233732,0.00505240165407718,0.46775767752709213,1.1028698086461395,-0.02310204152881204,0.7059760628497382,0.21760000000000002,0.00261622050126336,0.00475328877715528,1000.0,0.0005186883205141323,0.0006050319649371877,0.0005095035089522627,0.00048536175513570117,8.000866420438746e-05,0.09150768990293631,0.30884715268431073,0.003873115399430791,0.028914729989000413,0.033144531977386565,0.0005791778339548397,0.0006810222545577028,0.0,0.2,0.4,0.4
nonlinear_n2000,dfl_lp,0.0076440692688774,0.00718350710747862,0.00296911524927654,0.0023028108069937797,0.005020501892104181,0.4563102993171021,1.0277125227631398,-0.029221533917622562,0.6656921380409097,0.22759999999999997,0.00276868623352356,0.00441482087395502,2000.0,0.00038073465215794937,0.00042523917816790686,0.0003094022984617313,0.0002987014594016662,0.00014349590720304695,0.05288466701275117,0.18377428475413307,0.0032629400130184593,0.013275237358881583,0.019943921379708653,0.0003129349754394097,0.00037192544100171415,0.0,0.0,0.0,0.0
nonlinear_n2000,mlp_dfl_lp,0.006395232123367981,0.00546873800402518,0.00545708715032062,0.00463247059671398,0.0054631485764308,0.839774539565477,2.941076915330131,-0.02000402475301494,0.8242201389640454,0.1212,0.00276868623352356,0.00270005177050158,2000.0,0.0004645032697653751,0.0005822932885872466,0.0006502500620814278,0.0006250153319740527,0.00016439203330141495,0.08761017889975192,0.7453771871231732,0.003490177140264113,0.029808358148801114,0.015396103403134182,0.0003129349754394097,0.00041529311708013173,0.0,1.0,1.0,1.0
nonlinear_n250,dfl_lp,0.00819481343327726,0.00774799613286042,0.00293451312202438,0.0022340865020843,0.0057966662513414405,0.3661523916949517,0.837245058559694,-0.0261343508195305,0.6979339868554983,0.23809523809523805,0.00218177081209928,0.00556622532076112,250.0,0.000393199198863064,0.0003524504598297404,0.0006847769296098722,0.0006540639132475044,0.0003066357284610571,0.09375217568737135,0.25765318102260415,0.005454175183278714,0.03698045604005461,0.022447834323382453,0.001359463281133167,0.0012855120236168133,0.0,0.8,0.8,0.8
nonlinear_n250,mlp_dfl_lp,0.00846920596801162,0.0083831064841216,0.0009364634786024135,0.00043049741944997997,0.00486542886001254,0.08100823212787188,0.1608369867821327,-0.04319036903487506,0.5009782953032117,0.3142857142857143,0.00218177081209928,0.0062013356720222994,250.0,0.0007314281453439932,0.0007405438657300835,0.00046495576056092345,0.00043927522990807997,0.00045436533579155497,0.08098654544046753,0.13033471939091612,0.010223402263310036,0.031774416991156684,0.0829962949993738,0.001359463281133167,0.0015890668345856869,0.0,0.2,0.2,0.2
nonlinear_n4000,dfl_lp,0.007418353761069101,0.00692015762916664,0.00316695886666916,0.00249098065951218,0.00490335979747014,0.5080692289015817,1.1727133800903422,-0.02577359682898192,0.6757529944122072,0.1882,0.00271081378219564,0.00420934384697094,4000.0,0.00023424882354531473,0.0002733061104672535,0.00025088515881613354,0.00024297618887915895,6.963419002427028e-05,0.04946880031015897,0.16666534999725838,0.0037864276378958626,0.011819600099645671,0.009825477087653293,0.0005321441216515273,0.0002793166859742284,0.0,0.0,0.0,0.0
nonlinear_n4000,mlp_dfl_lp,0.0053167248733214005,0.00426668556696114,0.00609645396059766,0.0052501965318013195,0.00519671083951984,1.005685492738375,3.907676124724419,-0.017257109062504182,0.8461316048605474,0.0806,0.00271081378219564,0.00155587178476542,4000.0,0.00028800922211306046,0.0003411226159141544,0.00045285028938129077,0.00044085763938480645,0.0001249499954613305,0.06458320458814874,0.5165400513203514,0.0014604827827356065,0.0163415103205109,0.005679788728465171,0.0005321441216515273,0.0002722607998703747,0.0,1.0,1.0,1.0
nonlinear_n500,dfl_lp,0.00729110890870462,0.0068109997662994404,0.00306767312524982,0.00240054571202588,0.00502759747943518,0.47804620715672297,1.0612129562943187,-0.01647069206354364,0.6639543752291395,0.2096,0.0026911476187672,0.00411985214753222,500.0,0.0005825116940926692,0.0005775019415994277,0.00017753175934938947,0.0001717935247020534,0.0002268116342017008,0.031258635644668194,0.09911522365366944,0.001675985859743881,0.020567638382027072,0.029328484447717375,0.0005668776704949178,0.0010905914079002445,0.0,0.8,1.0,1.0
nonlinear_n500,mlp_dfl_lp,0.00806795438679546,0.00785503617206248,0.0016961944939059,0.001064591073664865,0.00485800386295576,0.20886043673422683,0.42420414403084983,-0.02925895826882826,0.62862452657319,0.2768,0.0026911476187672,0.00516388855329524,500.0,0.0004377065065476275,0.0004898856072716144,0.00043860959102837854,0.0004093144852517585,0.00024120586004272194,0.07079877805524473,0.17164558745485328,0.005872923099073494,0.03860578575356957,0.05328264257710948,0.0005668776704949178,0.0009844556093130134,0.0,0.2,0.0,0.0
nonlinear_n8000,dfl_lp,0.00752529581433436,0.00701976221815266,0.0031973159849194,0.0025276679809083198,0.00497939978702052,0.5048129874540457,1.1825936013687268,-0.0335199462147739,0.6694898262139797,0.199,0.00276230729220964,0.00425745492594296,8000.0,0.00027343823721802743,0.0003204252829214244,0.0003131116840040641,0.00030047532889950374,0.00012210485051557813,0.05080093143434477,0.19422225625719106,0.003718563786038253,0.013528633463210442,0.02248666271370655,0.0006502658855780948,0.0004274444566571886,0.0,0.0,0.0,0.0
nonlinear_n8000,mlp_dfl_lp,0.00483524630534328,0.0036960856542072804,0.0065267791087267,0.00569580325567992,0.005214343361377801,1.0852216603486462,4.620300060197178,-0.0190881966133677,0.8308303724685835,0.0748,0.00276230729220964,0.00093377836199758,8000.0,0.0002916370403745033,0.00038990615223931423,0.000605220631276698,0.000579847144023004,0.00016262649180087655,0.08097510388574838,0.7145640372829309,0.001901282482521329,0.02670992503385885,0.004831148931672464,0.0006502658855780948,0.00026784215466948166,0.0,1.0,1.0,1.0
