method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed,n_periods,selected
dfl_lp,0.021375791336519734,0.021493277417752345,-3.840848745364805e-05,-0.0005874304061630594,0.010236993254171895,-0.05738309985368799,-0.07689795636755188,-0.11281367759377914,0.5434844489645326,0.08,0.017489185694092926,0.004004091723659418,research_grid_v4,predictable_tail_crash,0,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 60, ""val_mse"": 0.8914992809295654}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.02495772788267575}"
mlp_dfl_lp,0.019150790089224285,0.019314471196360906,-0.0002791827602664349,-0.0008184055356831059,0.009649683833033081,-0.08481164251171674,-0.11582988697459459,-0.12152982436897408,0.5336716405220195,0.064,0.017489185694092926,0.00182528550226798,research_grid_v4,predictable_tail_crash,0,500,"{""init"": {""hidden"": 64, ""lr"": 0.005, ""epochs"": 20, ""val_mse"": 0.8845481276512146}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.017667373158800723}"
dfl_lp,0.016405402049317,0.016804532072817454,-0.0015156207043382575,-0.001995650117502262,0.008013628164497553,-0.2490320334669977,-0.29381335032010325,-0.2478205429516236,0.47237920490003277,0.12,0.013709488893643307,0.0030950431791741465,research_grid_v4,predictable_tail_crash,1,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 67, ""val_mse"": 1.0355315208435059}, ""lr"": 0.005, ""epochs"": 1, ""val_objective"": 0.018020410385973434}"
mlp_dfl_lp,0.016758520885117388,0.017314462542343062,-0.0023964414263091182,-0.002779708286128368,0.007644239500857835,-0.3636343792541816,-0.3970074753784979,-0.30392832404300496,0.3761533563049154,0.104,0.013709488893643307,0.0036049736486997545,research_grid_v4,predictable_tail_crash,1,500,"{""init"": {""hidden"": 64, ""lr"": 0.001, ""epochs"": 50, ""val_mse"": 1.0467618703842163}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.01892082156113349}"
dfl_lp,0.01585912483008476,0.01631519928957031,-0.0017593241188013878,-0.0022803722974277583,0.006232898619105188,-0.36586064308379107,-0.3862663062099786,-0.24094115255128967,0.514737401111957,0.08,0.013705602148942337,0.0026095971406279745,research_grid_v4,predictable_tail_crash,2,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 61, ""val_mse"": 0.8596963286399841}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.018958664320737284}"
mlp_dfl_lp,0.016124780433045088,0.016964522872759288,-0.0037926128937587106,-0.004198712198570992,0.005826212461100108,-0.7206589574073876,-0.6140024757783138,-0.40263868249863766,0.40050554941272326,0.096,0.013705602148942337,0.003258920723816951,research_grid_v4,predictable_tail_crash,2,500,"{""init"": {""hidden"": 16, ""lr"": 0.02, ""epochs"": 12, ""val_mse"": 0.8577767610549927}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.023142109874123167}"
dfl_lp,0.022099328933483743,0.022849681659949134,-0.0034020662499645096,-0.003751763632326945,0.0067547935943827785,-0.555422394385441,-0.5049296616492335,-0.37551239393444447,0.34197247577054063,0.096,0.019881669802772246,0.002968011857176888,research_grid_v4,predictable_tail_crash,3,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 61, ""val_mse"": 0.9856739640235901}, ""lr"": 0.001, ""epochs"": 1, ""val_objective"": 0.02192157192550953}"
mlp_dfl_lp,0.021594810241070444,0.022278790810737522,-0.0030488380285374978,-0.003419902848335386,0.006967293588928104,-0.49085097451314325,-0.4665895901997734,-0.35779962867891657,0.3630895360865802,0.096,0.019881669802772246,0.0023971210079652763,research_grid_v4,predictable_tail_crash,3,500,"{""init"": {""hidden"": 16, ""lr"": 0.005, ""epochs"": 49, ""val_mse"": 0.9855280518531799}, ""lr"": 0.001, ""epochs"": 0, ""val_objective"": 0.020948554303838393}"
dfl_lp,0.019906499898705948,0.020459957397319827,-0.0021698533820881175,-0.0027672874930693976,0.00815816889345509,-0.3392044867997592,-0.367341905803144,-0.2873392669170869,0.5902359277735368,0.08,0.020489833211392285,-2.9875814072457402e-05,research_grid_v4,predictable_tail_crash,4,500,"{""init"": {""hidden"": 0, ""lr"": 0.02, ""epochs"": 114, ""val_mse"": 0.9580513834953308}, ""lr"": 0.005, ""epochs"": 5, ""val_objective"": 0.019489090065071605}"
mlp_dfl_lp,0.02376750926830069,0.024408983552613575,-0.0026553570953006833,-0.0032073714215644184,0.009157674125920025,-0.3502386498047561,-0.3745403156743147,-0.32684049145694605,0.5456711972143945,0.08,0.020489833211392285,0.0039191503412212905,research_grid_v4,predictable_tail_crash,4,500,"{""init"": {""hidden"": 16, ""lr"": 0.005, ""epochs"": 69, ""val_mse"": 0.9447947144508362}, ""lr"": 0.005, ""epochs"": 3, ""val_objective"": 0.021598859028154154}"
