regime,method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,n_periods,test_cvar_sem,objective_sem,mean_return_sem,tc_adjusted_return_sem,volatility_sem,sharpe_sem,sortino_sem,max_drawdown_sem,turnover_sem,tail_loss_frequency_sem,oracle_objective_sem,oracle_regret_sem,n_periods_sem,test_cvar_win_rate,oracle_regret_win_rate,tc_adjusted_return_win_rate
nonlinear_n1000,dfl,0.007806234683897422,0.007750434260809369,0.0006336064100700442,0.0002790021154402643,0.003993831833750105,0.02879535986468084,0.13626605337984482,-0.1044296709530124,0.3535318047750386,0.32880000000000004,0.0026162205012634195,0.005134213759545949,1000.0,0.0003243998220685436,0.0003149583215001741,0.0006330456739905788,0.000557851409570003,0.0003317204246281824,0.12898631631379193,0.22800544657868868,0.032155924932611595,0.08421899682502447,0.03874841932259947,0.0005791778339548311,0.0004987831247622117,0.0,0.2,0.0,0.0
nonlinear_n1000,linear_dfl,0.009004426251683465,0.008776159490424807,0.0016596794187084061,0.0011413338062932824,0.0048482655022631885,0.2266400382235399,0.4054658430375775,-0.037813194675296403,0.5176292668132685,0.3024,0.0026162205012634195,0.0061599389891613884,1000.0,0.00012134932185059577,0.00011482116424979403,0.000293997898767328,0.0002743260728849321,0.00025570978572814483,0.04316677536609434,0.09495304301504522,0.00432804019018632,0.02503481186192928,0.05151465810815403,0.0005791778339548311,0.0006161860683315186,0.0,0.0,0.0,0.0
nonlinear_n1000,mlp_two_stage,0.0072508367532532385,0.0067269152545963735,0.0033191426227236675,0.0026196074932843226,0.004920912479440086,0.5313505831539419,1.2742972356767481,-0.02088739462183118,0.6989182725699354,0.2144,0.0026162205012634195,0.004110694753332955,1000.0,0.0005040252505388332,0.0005420400565342944,0.00043769704607181105,0.00041347394183695676,0.00016283553706002802,0.07611804496449193,0.27072842526597357,0.002402846367434001,0.027704177514861577,0.04329618920875139,0.0005791778339548311,0.0005223395977421477,0.0,0.6,0.4,0.4
nonlinear_n1000,two_stage,0.007326748363630464,0.006799928479849285,0.0033030750988484875,0.002634099418905902,0.0048833669100066856,0.5380995140842415,1.3042047444055096,-0.02085472580544312,0.6680076670396111,0.18239999999999998,0.0026162205012634195,0.004183707978585865,1000.0,0.0004943311490124788,0.0005364788640514805,0.00031863709960986244,0.00030923031492402476,0.00020121201215996055,0.053652284655334295,0.23178395961392406,0.0030540776601965056,0.015109752739751174,0.020103730997006502,0.0005791778339548311,0.00033725948391121233,0.0,0.2,0.6,0.6
nonlinear_n2000,dfl,0.00728872786570586,0.007128188381382019,0.0012071484869104578,0.0008026974216191973,0.0040441074013655215,0.16623981867359006,0.385991768818152,-0.1038441195556213,0.40386483658340777,0.3008,0.002768686233523613,0.004359502147858407,2000.0,0.0003208638095874636,0.0003838721802028055,0.000629468019008087,0.0005650214851480013,0.0002712429933239231,0.1298480397263199,0.2558274409375901,0.057050262290138556,0.06739452907860069,0.048218668583858676,0.00031293497543941973,0.0004720624298972558,0.0,0.0,0.0,0.0
nonlinear_n2000,linear_dfl,0.008071183357160651,0.007897606575279294,0.0013254391299346007,0.000867883909406778,0.004362875883770811,0.19635937408522447,0.34122082386371533,-0.035665106428736236,0.45716976029429857,0.2964,0.002768686233523613,0.005128920341755681,2000.0,0.00042303964819668383,0.0004275520219112075,0.00019997573961726635,0.000186674189481317,0.00015853422676939783,0.040880945373490137,0.08376498398977988,0.003570480956662281,0.017859731690915377,0.03680434756927502,0.00031293497543941973,0.0004003418148638161,0.0,0.0,0.0,0.0
nonlinear_n2000,mlp_two_stage,0.006114945065284831,0.005157010757790348,0.005620818926770302,0.0047896715374724135,0.005354440900680086,0.8870658455950778,3.0638502953830153,-0.02139654354074616,0.8307547337027035,0.11080000000000001,0.002768686233523613,0.0023883245242667345,2000.0,0.0002941033124600175,0.000391665060463545,0.00057919965189241,0.0005552612055065745,0.00013634767330958944,0.08029685198965288,0.5851450909760135,0.0033354186885558366,0.027500229535704433,0.0035552777669262334,0.00031293497543941973,0.000253829297766005,0.0,1.0,1.0,1.0
nonlinear_n2000,two_stage,0.007575040892718024,0.007097025556711026,0.003059650131417354,0.002390076680034988,0.004927833470859349,0.48161125126548077,1.09575875858545,-0.023475800325107675,0.6690449186939956,0.2084,0.002768686233523613,0.004328339323187412,2000.0,0.00038139376220794335,0.0004033556755948561,0.0003177609707682505,0.00030514027913415424,0.00015260355429836083,0.052297117752928016,0.19204620909576417,0.0024116239909232856,0.015105788053272765,0.020817300497422815,0.00031293497543941973,0.00048377533346153945,0.0,0.0,0.0,0.0
nonlinear_n250,dfl,0.009880017765576714,0.010033539308228886,-0.0005196388652368035,-0.0007676077132608564,0.004649623127565545,-0.18447400935088853,-0.22773494384117338,-0.07212889864278757,0.24283894262261546,0.43809523809523804,0.002181770812099303,0.007851768496129584,250.0,0.0009655647037061727,0.0009417355366284088,0.00017874625298923142,0.00015960504049561652,0.0004885954630411502,0.05112074596248525,0.057008159752652235,0.004277688849412062,0.03769076260009751,0.07737179432986628,0.0013594632811331838,0.001636869367033851,0.0,0.0,0.0,0.0
nonlinear_n250,linear_dfl,0.011257741769387541,0.011295666170817236,0.0003025564440312093,-0.00018962200714847804,0.00558958700056477,-0.04902184169696099,-0.033203380725753955,-0.0664813019031933,0.4912384289018855,0.37777777777777777,0.002181770812099303,0.009113895358717934,250.0,0.0010094215761200771,0.0010521381408958273,0.000512934186138269,0.0004846718577475171,0.00044150319216956286,0.09725763727413991,0.12278188001830541,0.010551457603495348,0.03843092666802774,0.08685310489082193,0.0013594632811331838,0.0023143425380496014,0.0,0.0,0.0,0.0
nonlinear_n250,mlp_two_stage,0.008775723538704008,0.008729952022438196,0.0007152393971517203,0.00022885758132905,0.004974917030235154,0.009441721497996627,0.09697143537039017,-0.0439454106261646,0.48114122977378126,0.3587301587301587,0.002181770812099303,0.006548181210338894,250.0,0.0010514453945422468,0.0010874680425711184,0.0006359275511378849,0.0005912537770029371,0.0005401039496591238,0.11582494841083966,0.20969796848705277,0.009788008031763043,0.057646735771464466,0.05302632726504782,0.0013594632811331838,0.001836156858480474,0.0,0.4,0.4,0.0
nonlinear_n250,two_stage,0.008620029951895248,0.008096913629392782,0.0033127566476141303,0.002615581612512332,0.006080001575597521,0.41904994916634825,0.9740457893040706,-0.022159574312641706,0.6935777174549436,0.23174603174603173,0.002181770812099303,0.0059151428172934785,250.0,0.0003458036390488559,0.0003963124715103578,0.0005786630513438592,0.0005717423573516623,0.0003554678411243819,0.07777281116303063,0.237743207172043,0.004105569514475018,0.01832940895047782,0.03036686741223649,0.0013594632811331838,0.0011825123347184918,0.0,0.6,0.6,1.0
nonlinear_n4000,dfl,0.007010411092888358,0.006504339475536658,0.0031114811183280363,0.0025303580867584987,0.004579935925997413,0.5392609051198998,1.2735785234633843,-0.02307720255209018,0.5807833899820534,0.16640000000000002,0.002710813782195706,0.0037935256933409518,4000.0,0.0001962577496720681,0.00018847846783587833,0.0004802468664430479,0.0004469293453472171,0.00022462551027303156,0.07418561836853149,0.24756162920949254,0.0020350300747020624,0.0336624390922378,0.018701871564097538,0.0005321441216515269,0.0004538810999367271,0.0,0.0,0.0,0.0
nonlinear_n4000,linear_dfl,0.007248775545339527,0.007012639660563915,0.0016288043519651508,0.0011806794238780598,0.004158675550349723,0.2755338025984172,0.5382718980762728,-0.03867355278406204,0.44799341651871316,0.23700000000000002,0.002710813782195706,0.004301825878368209,4000.0,0.0001729542554080325,0.00020135809834322045,0.00033085429004432157,0.0003128490785328286,0.00015860025069723964,0.06925753223123544,0.15749536248279974,0.009765169642681435,0.0182537977217143,0.018261982367749677,0.0005321441216515269,0.00039559346293571767,0.0,0.0,0.0,0.0
nonlinear_n4000,mlp_two_stage,0.005560934134738497,0.004490169539937912,0.006205860277624257,0.005353822974002927,0.005250063877823676,1.0159543593433116,3.7739772539498206,-0.01741069885721087,0.8518641854876996,0.0794,0.002710813782195706,0.0017793557577422063,4000.0,0.00035209260727719845,0.000398565732592481,0.00043030382609593346,0.0004193693942608061,0.00014485061055224548,0.060114610627069326,0.42602578097656635,0.0018752741296822677,0.015647615202785424,0.005173006862551024,0.0005321441216515269,0.00022411571665680868,0.0,1.0,1.0,1.0
nonlinear_n4000,two_stage,0.007303894798662945,0.006794717165687883,0.003216068447744729,0.0025458881648753088,0.004909195108821154,0.5170483184065543,1.215784867557361,-0.023128266136950626,0.670022457665113,0.18660000000000002,0.002710813782195706,0.004083903383492177,4000.0,0.00018896859677463334,0.00023081350825832468,0.0002634978499853229,0.00025314814606968296,9.300851661504938e-05,0.04633708534754785,0.1600912553637245,0.001951291247470435,0.01161100836221922,0.012867012085173466,0.0005321441216515269,0.0003100742817032292,0.0,0.0,0.0,0.0
nonlinear_n500,dfl,0.00941618365758905,0.009334788025632453,0.0008659701339693347,0.0004069781597829973,0.004688710568382929,0.07804099484505937,0.17371758343623256,-0.05201356348529307,0.4558011435124289,0.30720000000000003,0.002691147618767238,0.006643640406865214,500.0,0.0011655189775204538,0.001190013983489085,0.0005371906905072612,0.0004919138715091452,0.00045813879904370064,0.11184077486440437,0.1885088284749888,0.018252614909976667,0.05515935762586016,0.0574999130434125,0.0005668776704949184,0.0015947067111971229,0.0,0.0,0.0,0.0
nonlinear_n500,linear_dfl,0.009452729967178686,0.00938945660388988,0.0008098412186561901,0.0003163668164440275,0.00476716652279099,0.05117940966231462,0.11080115031048657,-0.056251372280091694,0.49126377386890796,0.3472,0.002691147618767238,0.0066983089851226415,500.0,0.00039776453168917386,0.0003902901159076139,0.0004728879685919333,0.0004324370396848137,0.0002510183627485674,0.09409570576114025,0.14385444162843766,0.017615597335575377,0.04409109613836652,0.05393922505932024,0.0005668776704949184,0.0008385998851337257,0.0,0.0,0.0,0.0
nonlinear_n500,mlp_two_stage,0.007812200750472426,0.0075270166649443375,0.002069518586337937,0.001425920427640445,0.004832752477730863,0.3000165973400786,0.5733853544180934,-0.025445190514959925,0.6405528203346006,0.2576,0.002691147618767238,0.004835869046177099,500.0,0.0007631376818332103,0.0007617625420155851,0.0001449740449029802,0.00016197499494765468,0.00026851099274591587,0.04026807353655921,0.08999856898123307,0.004234299116171527,0.028651679476584854,0.04190656273186814,0.0005668776704949184,0.0011299810205350088,0.0,0.4,0.4,0.0
nonlinear_n500,two_stage,0.0073923281604529045,0.006888353025117239,0.0032029004384936605,0.0025198756766783327,0.005109132702234899,0.4922821328222956,1.1168667743569642,-0.018021369567668956,0.6801962778390991,0.2016,0.002691147618767238,0.00419720540635,500.0,0.000447519634175689,0.0004200587554149005,0.00022679454916743063,0.00022148229119343797,0.00022987763512890172,0.0347197546173035,0.09695665153712214,0.00297027567420553,0.023956823373638393,0.026701310829245817,0.0005668776704949184,0.0008935739855317812,0.0,0.6,0.6,1.0
nonlinear_n8000,dfl,0.0059168975900421,0.005073962647443483,0.00491525740364593,0.004214674712993085,0.0048961962442375506,0.8536250909645293,2.759164121672753,-0.021861286078035967,0.7004529949234343,0.1091,0.002762307292209697,0.0023116553552337857,8000.0,0.0002735903680482633,0.0003526149162285845,0.00047762967652086594,0.00046541466335643867,0.00014795524839532006,0.07277527355408293,0.45633494430852656,0.0019078853717784487,0.016680737964038513,0.010248658448792209,0.0006502658855780948,0.00030554102978549427,0.0,0.0,0.0,0.0
nonlinear_n8000,linear_dfl,0.0067890289858339985,0.006463127960736165,0.0020917180827135645,0.0016295051254891682,0.0042236495453158345,0.3823952420269072,0.7882600549094956,-0.03258586367233955,0.4620865684073533,0.22149999999999997,0.002762307292209697,0.0037008206685264686,8000.0,9.645372362685221e-05,7.658099818668967e-05,0.00018412679795185447,0.00017562261084189717,0.00012778296278348985,0.031020382589730184,0.08668714958116877,0.003690705018109223,0.00872093561444606,0.032146150624919316,0.0006502658855780948,0.0006517059168198338,0.0,0.0,0.0,0.0
nonlinear_n8000,mlp_two_stage,0.0048922902224706665,0.0037260215082794436,0.006686322079966704,0.005831343570956113,0.005218111709350227,1.1098412081615983,4.799522456237279,-0.01969552484595536,0.8548233197651127,0.0686,0.002762307292209697,0.0009637142160697472,8000.0,0.0003805135342137036,0.0004848597191555952,0.0006012449022762352,0.0005840815158263282,0.00014800653167698277,0.08143441036989997,0.8546523437657517,0.0032956847888059816,0.01851040674891347,0.003994996871087637,0.0006502658855780948,0.00017417759384707635,0.0,1.0,1.0,1.0
nonlinear_n8000,two_stage,0.0070968683346258055,0.006562607354183467,0.0033365226883633956,0.0026713049022116884,0.004896377496313058,0.5421221478729643,1.3022940878484763,-0.030933940743062705,0.6650993052853666,0.1902,0.002762307292209697,0.0038003000619737707,8000.0,0.00015627401077753433,0.00014987473366284644,0.0002810613534667349,0.0002673270457894951,0.00014606344502855948,0.040178453611374454,0.14256997868232674,0.0032145291864095916,0.015464332885992062,0.022850929959194223,0.0006502658855780948,0.0006451078828136109,0.0,0.0,0.0,0.0
